title,year,certificate,duration,genre,rating,votes
The Dating Game,,,,"Crime, Drama, Mystery",,
The Big Show Show,(2020),TV-G,,Comedy,6.300000190734863,"2,464"
Next Door,(2005),Unrated,75 min,"Horror, Mystery, Thriller",6.400000095367432,"10,015"
SKY Castle,(2018–2019),,75 min,"Drama, Mystery",8.600000381469727,"3,154"
How I Became a Super Hero,(2020),TV-MA,97 min,"Action, Adventure, Comedy",5.800000190734863,"5,337"
Conversations with a Killer: The Ted Bundy Tapes,(2019),TV-MA,236 min,"Documentary, Biography, Crime",7.699999809265137,"29,416"
Are You the One?,(2014– ),TV-14,41 min,"Game-Show, Reality-TV, Romance",6.5,"2,576"
Dive Club,(2021– ),TV-PG,27 min,"Adventure, Drama, Family",6.199999809265137,912
The Stand In,(2020),R,101 min,"Comedy, Drama",4.699999809265137,"3,532"
The Ultimatum: Marry or Move On,(2022– ),TV-MA,60 min,Reality-TV,5.400000095367432,"1,889"
The Chronicles of Narnia: The Silver Chair,,,,"Adventure, Fantasy",,
Scissor Seven,(2018– ),TV-14,13 min,"Animation, Action, Adventure",8.399999618530273,"2,974"
Seaspiracy,(2021),TV-14,89 min,"Documentary, Adventure",8.100000381469727,"30,963"
The Circle,(2020– ),TV-MA,48 min,"Game-Show, Reality-TV",7.300000190734863,"7,026"
Bad and Crazy,(2021–2022),,70 min,"Action, Comedy, Crime",8.0,"1,958"
Exception,(2022– ),TV-MA,,"Animation, Drama, Horror",,
Sunny,(2011),PG-13,124 min,"Comedy, Drama",7.800000190734863,"5,963"
Rebecka Martinsson,(2017– ),Not Rated,45 min,"Crime, Drama, Mystery",7.099999904632568,"2,835"
Halo 4: Forward Unto Dawn,(2012),Not Rated,100 min,"Action, Sci-Fi, Thriller",6.699999809265137,"24,917"
The King's Avatar,(2019),,45 min,"Action, Adventure",8.199999809265137,"1,191"
Chewing Gum,(2015–2017),TV-MA,23 min,Comedy,7.699999809265137,"9,555"
The Unlikely Murderer,(2021),TV-MA,228 min,"Crime, Drama",7.0,"4,264"
The Saint,(2017 TV Movie),Not Rated,91 min,"Action, Adventure, Crime",4.900000095367432,"6,786"
Earwig and the Witch,(2020 TV Movie),PG,82 min,"Animation, Adventure, Family",4.800000190734863,"4,386"
Resident Evil: Infinite Darkness,(2021– ),TV-MA,26 min,"Animation, Action, Horror",5.699999809265137,"10,700"
Monster,(II) (2018),Unrated,98 min,"Crime, Drama",6.5,"5,890"
Last Chance U,(2016–2020),TV-MA,55 min,"Documentary, Sport",8.399999618530273,"6,962"
DC Super Hero Girls,(2019– ),TV-PG,11 min,"Animation, Action, Adventure",7.099999904632568,"1,338"
Alex Strangelove,(2018),TV-MA,99 min,"Comedy, Drama, Romance",6.300000190734863,"17,989"
You Are SO Not Invited to My Bat Mitzvah!,,,,Comedy,,
The Other Side of the Wind,(2018),R,122 min,Drama,6.699999809265137,"7,370"
Day of the Dead: Bloodline,(2017),R,90 min,"Action, Drama, Horror",3.4000000953674316,"12,043"
Jigsaw,(2022– ),,,"Action, Crime, Drama",,
Afro Samurai,(2007),TV-MA,26 min,"Animation, Action, Adventure",7.599999904632568,"16,823"
The Octonauts,(2010– ),TV-Y,11 min,"Animation, Adventure, Comedy",7.599999904632568,"1,121"
Women of the Night,(2019–2020),,47 min,"Crime, Drama",6.300000190734863,907
Trollhunters: Rise of the Titans,(2021),TV-Y7,104 min,"Animation, Action, Adventure",6.599999904632568,"4,970"
Masaba Masaba,(2020– ),TV-MA,50 min,"Comedy, Drama",6.699999809265137,"2,138"
Equinox,(2020),TV-MA,43 min,"Drama, Fantasy, Mystery",6.099999904632568,"7,027"
Radium Girls,(2018),Not Rated,102 min,"Drama, History",6.199999809265137,"1,907"
The Quake,(2018),PG-13,106 min,"Action, Drama, Thriller",6.199999809265137,"12,293"
Rurouni Kenshin: Final Chapter Part I - The Final,(2021),TV-MA,138 min,"Action, Drama",7.199999809265137,"8,828"
Cracow Monsters,(2022– ),TV-MA,60 min,"Adventure, Drama, Fantasy",5.5,"1,807"
The Lovebirds,(2020),R,86 min,"Action, Comedy, Crime",6.099999904632568,"26,168"
Moriarty the Patriot,(2020– ),TV-14,,"Animation, Crime, History",8.0,"2,554"
First They Killed My Father,(2017),TV-MA,136 min,"Biography, Drama, History",7.099999904632568,"18,547"
Puella Magi Madoka Magica,(2011),TV-14,24 min,"Animation, Drama, Fantasy",8.199999809265137,"9,674"
Ngeri-Ngeri Sedap,(2022),,114 min,"Comedy, Drama",8.5,778
"Berlin, I Love You",(2019),R,120 min,"Drama, Romance",4.599999904632568,"3,433"
Zeitgeist,(2007 Video),Not Rated,118 min,"Documentary, History",8.100000381469727,"49,587"
Otherhood,(2019),R,100 min,Comedy,6.099999904632568,"11,393"
Mystery Science Theater 3000,(2017–2022),TV-14,90 min,"Comedy, Drama, Horror",8.100000381469727,"3,721"
100 Days My Prince,(2018),,75 min,"Action, Comedy, History",7.699999809265137,"2,250"
Gentefied,(2020–2021),TV-MA,,Comedy,7.400000095367432,"2,769"
Million Dollar Arm,(2014),PG,124 min,"Biography, Drama, Sport",7.0,"46,153"
The Naked Director,(2019– ),TV-MA,48 min,"Biography, Drama",7.699999809265137,"6,226"
Someone Has to Die,(2020),TV-MA,149 min,"Crime, Drama, Thriller",6.300000190734863,"4,938"
Damsel,(2023),,,"Adventure, Fantasy",,
13th,(2016),TV-MA,100 min,"Documentary, Crime, History",8.199999809265137,"35,589"
Sniper: Ghost Shooter,(2016 Video),R,99 min,"Action, Drama, Thriller",5.400000095367432,"4,147"
Unit 42,(2017– ),,52 min,"Crime, Drama, Thriller",6.900000095367432,"2,473"
The Mercy,(2018),Not Rated,112 min,"Adventure, Biography, Drama",6.0,"8,688"
6 Years,(2015),Not Rated,79 min,"Drama, Romance",5.5,"12,684"
Wolfblood,(2012–2017),TV-PG,30 min,"Family, Fantasy",7.400000095367432,"3,639"
Rurôni Kenshin: Sai shûshô - The Beginning,(2021),TV-MA,137 min,"Action, Adventure, Drama",7.400000095367432,"8,546"
The Last Czars,(2019),TV-MA,45 min,"Documentary, Drama, History",7.300000190734863,"8,408"
Rainbow,(2022),,117 min,Drama,,
British Men Behaving Badly,(1992–2014),,45 min,Comedy,7.699999809265137,"8,225"
My ID Is Gangnam Beauty,(2018),,60 min,"Comedy, Romance",7.400000095367432,"4,219"
Charming,(2018),TV-Y7,85 min,"Animation, Adventure, Comedy",5.599999904632568,"3,566"
Minnal Murali,(2021),TV-14,158 min,"Action, Adventure, Comedy",7.900000095367432,"29,324"
Life's Too Short,(2011–2013),TV-MA,30 min,Comedy,7.5,"15,741"
Black Island,(2021 TV Movie),TV-MA,104 min,"Drama, Mystery, Thriller",5.199999809265137,"2,854"
Transformers: War for Cybertron Trilogy,(2020–2021),TV-Y7,30 min,"Animation, Action, Adventure",7.300000190734863,"3,660"
White Snake 2: Green Snake,(2021),,131 min,"Animation, Action, Adventure",6.800000190734863,"2,536"
Super Crooks,(2021– ),TV-MA,30 min,"Animation, Action, Adventure",7.099999904632568,"2,410"
My Best Friend Anne Frank,(2021),TV-14,103 min,Drama,6.199999809265137,"4,276"
Jeffrey Epstein: Filthy Rich,(2020),TV-MA,227 min,"Documentary, Crime",7.099999904632568,"24,527"
"Love, Guaranteed",(2020),TV-PG,90 min,"Comedy, Romance",5.599999904632568,"17,543"
Minecraft: Story Mode,(2018),TV-PG,,"Animation, Adventure",5.599999904632568,400
Pacific Rim: The Black,(2021–2022),TV-14,24 min,"Animation, Action, Adventure",7.0,"5,320"
Operation Christmas Drop,(2020),TV-G,95 min,"Comedy, Family, Romance",5.800000190734863,"11,578"
The Father Who Moves Mountains,(2021),TV-MA,108 min,"Drama, Thriller",5.5,"3,535"
Blue Mountain State: The Rise of Thadland,(2016),R,90 min,"Comedy, Sport",5.699999809265137,"15,853"
Rookie Historian Goo Hae-Ryung,(2019),,35 min,"Comedy, Drama, History",8.100000381469727,"2,152"
Deadman Wonderland,(2011),TV-MA,24 min,"Animation, Action, Drama",7.099999904632568,"10,728"
Sniper: Assassin's End,(2020 Video),R,95 min,"Action, Thriller",5.300000190734863,"3,207"
Lunatics,(2019),TV-MA,35 min,Comedy,6.5,"3,224"
Pom Poko,(1994),PG,119 min,"Animation, Comedy, Drama",7.300000190734863,"30,155"
Aunty Donna's Big Ol' House of Fun,(2020– ),TV-MA,20 min,Comedy,7.900000095367432,"6,468"
Anxious People,(2021),TV-MA,171 min,"Comedy, Crime, Drama",6.800000190734863,"4,086"
Abyss,(2019),TV-14,60 min,"Crime, Fantasy, Romance",7.099999904632568,"2,446"
Triple Threat,(2019),R,96 min,"Action, Thriller",5.599999904632568,"11,511"
Ghost Wars,(2017–2018),TV-14,60 min,"Drama, Fantasy, Horror",6.199999809265137,"5,019"
Ashes of Love,(2018),,45 min,"Comedy, Fantasy, Romance",8.300000190734863,"2,076"
The Bride of Habaek,(2017),,70 min,"Comedy, Fantasy, Romance",6.900000095367432,"2,924"
Down to Earth with Zac Efron,(2020– ),TV-PG,,"Documentary, History, Reality-TV",8.0,"6,690"
Neumatt,(2021– ),TV-MA,45 min,Drama,6.900000095367432,693
Rust Valley Restorers,(2018– ),TV-14,38 min,Documentary,7.699999809265137,"2,958"
Eat the Rich: The GameStop Saga,(2022),,,Documentary,,
Bleach,(2018),TV-14,108 min,"Action, Adventure, Fantasy",6.300000190734863,"11,766"
Observe and Report,(2009),R,86 min,"Comedy, Crime, Drama",5.699999809265137,"63,494"
Live Up to Your Name,(2017),,60 min,"Drama, Fantasy, Romance",8.0,"1,383"
Shaman King,(2021–2022),TV-PG,23 min,"Animation, Action, Adventure",7.0,"1,839"
Club de Cuervos,(2015– ),TV-MA,40 min,"Comedy, Drama",8.199999809265137,"5,646"
The Girl on the Train,(2021),TV-MA,120 min,"Crime, Drama, Mystery",4.400000095367432,"14,592"
A Man in Full,,,,Drama,,
The Fame Game,(2022– ),TV-MA,45 min,"Drama, Mystery, Thriller",6.699999809265137,"21,640"
The Keepers,(II) (2017),TV-MA,436 min,"Documentary, Crime, Mystery",8.100000381469727,"22,519"
Queen,(2022),TV-MA,200 min,Drama,7.099999904632568,"1,240"
Those Who Read the Hearts of Evil,(2022– ),,,"Crime, Drama, Mystery",8.100000381469727,444
Power Rangers Beast Morphers,(2019–2020),TV-Y7,21 min,"Action, Adventure, Comedy",6.5,616
Damascus Cover,(2017),R,93 min,"Mystery, Thriller",5.300000190734863,"3,023"
Dirty Lines,(2022– ),TV-MA,45 min,"Drama, History",7.400000095367432,"2,051"
The Time in Between,(2013–2014),,853 min,"Adventure, Drama, History",8.300000190734863,"4,258"
Double World,(2020),,110 min,"Action, Adventure, Fantasy",6.099999904632568,"4,245"
Cathedral of the Sea,(2018),TV-MA,55 min,"Drama, History",7.400000095367432,"4,567"
Untitled Kanye West Documentary,(2022),TV-MA,90 min,"Documentary, Music",8.0,"8,984"
Pee-wee's Big Holiday,(2016),TV-PG,90 min,"Comedy, Family",6.099999904632568,"8,125"
Untold: Breaking Point,(2021),TV-MA,68 min,"Documentary, Sport",7.599999904632568,"2,865"
One Spring Night,(2019),,35 min,"Drama, Romance",7.900000095367432,"2,726"
The After Party,(I) (2018),Not Rated,120 min,"Comedy, Music",5.699999809265137,"4,457"
The Wasteland,(2021),TV-MA,92 min,"Drama, Horror, Mystery",4.599999904632568,"4,198"
Berserk: The Golden Age Arc I - The Egg of the King,(2012),TV-MA,76 min,"Animation, Action, Adventure",7.5,"12,797"
A Kidnapping Scandal: The Florence Cassez Affair,(2022),TV-MA,287 min,"Documentary, Crime",7.099999904632568,274
Trese,(2021– ),TV-MA,33 min,"Animation, Action, Adventure",7.0,"3,947"
Animal Crackers,(2017),TV-Y7,105 min,"Animation, Adventure, Comedy",5.800000190734863,"3,501"
Night in Paradise,(2020),TV-MA,131 min,"Action, Crime, Drama",6.699999809265137,"6,998"
Don't Blame Karma!,(2022),TV-MA,85 min,"Comedy, Romance",4.599999904632568,598
After Porn Ends,(2012),Not Rated,94 min,Documentary,5.699999809265137,"7,923"
Ghoul,(2018),TV-MA,45 min,"Drama, Fantasy, Horror",7.0,"14,055"
The Dawn Wall,(2017),Not Rated,100 min,"Documentary, Biography, Sport",8.100000381469727,"19,774"
I'm Not a Robot,(2017–2018),TV-14,35 min,"Comedy, Romance, Sci-Fi",8.0,"5,472"
King Cobra,(2016),Not Rated,91 min,"Crime, Drama",5.599999904632568,"9,115"
What Keeps You Alive,(2018),R,98 min,"Horror, Thriller",5.699999809265137,"8,784"
The Way of the Househusband,(2021– ),TV-14,16 min,"Animation, Action, Comedy",7.300000190734863,"4,437"
Earthquake Bird,(2019),R,107 min,"Crime, Drama, Mystery",5.900000095367432,"14,672"
The Perfumier,(2022),TV-MA,96 min,"Crime, Drama, Thriller",3.799999952316284,297
B*A*P*S,(1997),PG-13,91 min,Comedy,4.599999904632568,"5,488"
Message from the King,(2016),R,102 min,"Action, Crime, Drama",6.400000095367432,"16,665"
How to Plan an Orgy in a Small Town,(2015),TV-MA,101 min,"Comedy, Drama",5.400000095367432,"3,352"
Racing Stripes,(2005),PG,102 min,"Adventure, Comedy, Drama",5.199999809265137,"17,338"
After Porn Ends 2,(2017),TV-MA,90 min,Documentary,5.5,"2,654"
Players,(2022),,,"Comedy, Romance",,
Silver Skates,(2020),TV-MA,130 min,"Adventure, Drama, Family",7.099999904632568,"6,097"
Zach Stone Is Gonna Be Famous,(2013),TV-14,21 min,Comedy,8.300000190734863,"3,825"
Yasuke,(2021– ),TV-MA,30 min,"Animation, Action, Adventure",6.199999809265137,"5,308"
Ocean Waves,(1993 TV Movie),PG-13,76 min,"Animation, Drama, Romance",6.599999904632568,"17,307"
The Trials of Gabriel Fernandez,(2020),TV-MA,331 min,"Documentary, Crime",8.100000381469727,"11,687"
Married to Medicine,(2013– ),TV-14,43 min,Reality-TV,5.5,403
The Returned,(2015),TV-14,42 min,"Drama, Fantasy, Horror",7.0,"11,908"
Gore,,,,Drama,,
Haters Back Off!,(2016–2017),TV-14,30 min,"Comedy, Drama, Family",5.900000095367432,"7,335"
Glitch,(2022– ),,60 min,"Comedy, Mystery, Sci-Fi",,
Tower of God,(2020),TV-14,23 min,"Animation, Action, Adventure",7.699999809265137,"5,679"
Irish Wish,,,,"Comedy, Fantasy, Romance",,
Fullmetal Alchemist: Final Transmutation,(2022),,142 min,"Action, Adventure, Fantasy",5.699999809265137,65
Balls Out,(2014),R,100 min,"Comedy, Sport",4.300000190734863,"1,482"
Uncorked,(I) (2020),TV-MA,104 min,Drama,6.400000095367432,"5,771"
Berserk: The Golden Age Arc III - The Advent,(2013),Not Rated,110 min,"Animation, Action, Adventure",7.800000190734863,"10,365"
Point Blank,(2019),TV-MA,86 min,"Action, Crime, Drama",5.699999809265137,"14,514"
Det som göms i snö,(2018– ),TV-14,43 min,"Crime, Drama, Mystery",7.400000095367432,"2,938"
My Secret Romance,(2017),TV-14,47 min,"Comedy, Romance",7.099999904632568,"3,549"
The A List,(2018–2021),TV-14,25 min,"Crime, Drama, Mystery",5.400000095367432,"2,968"
Making Fun,(2022– ),,,Reality-TV,7.099999904632568,628
Private Life,(2018),R,123 min,"Comedy, Drama",7.199999809265137,"19,832"
Acrimony,(2018),R,120 min,"Horror, Romance, Thriller",5.800000190734863,"8,922"
Mark Felt: The Man Who Brought Down the White House,(2017),PG-13,103 min,"Biography, Drama, History",6.400000095367432,"13,586"
Like Father,(2018),TV-MA,98 min,"Comedy, Drama",6.099999904632568,"21,599"
The Bastard Son & The Devil Himself,(2021– ),,60 min,"Action, Adventure, Drama",,
Other People,(I) (2016),Unrated,97 min,"Comedy, Drama",6.800000190734863,"11,552"
Anne+,(2021),,94 min,Drama,6.099999904632568,"1,565"
Fire with Fire,(II) (2012),R,97 min,"Action, Thriller",5.599999904632568,"26,737"
The Salisbury Poisonings,(2020),TV-14,58 min,"Drama, History, Thriller",7.199999809265137,"6,458"
Slugterra,(2012–2016),TV-Y7,22 min,"Animation, Action, Adventure",6.900000095367432,"1,707"
Article 15,(2019),Not Rated,130 min,"Crime, Drama, Mystery",8.199999809265137,"33,653"
Touch Your Heart,(2019),,60 min,"Comedy, Romance",7.599999904632568,"3,423"
Steins;Gate 0,(2018),TV-14,30 min,"Animation, Drama, Mystery",8.399999618530273,"9,123"
Lawless Lawyer,(2018),,60 min,"Action, Drama, Thriller",7.599999904632568,"1,898"
In Good Hands,(2022),TV-MA,104 min,"Comedy, Drama, Romance",5.599999904632568,"2,910"
Rosario + Vampire,(2008),TV-14,25 min,"Animation, Comedy, Fantasy",6.900000095367432,"3,205"
Mine,(2021– ),,70 min,"Drama, Mystery",7.699999809265137,"1,260"
Celeste & Jesse Forever,(2012),R,92 min,"Comedy, Drama, Romance",6.599999904632568,"31,753"
The Last Bus,(2022– ),TV-Y7,35 min,"Adventure, Comedy, Drama",5.099999904632568,640
Cinderella and the Four Knights,(2016),,60 min,"Comedy, Romance",7.400000095367432,"4,088"
Champions,(2018),TV-14,30 min,Comedy,6.0,"3,940"
Lockwood & Co,(2023– ),,60 min,"Action, Adventure, Drama",,
Summertime,(2020–2022),TV-MA,40 min,"Drama, Romance",6.099999904632568,"2,806"
School Tales the Series,(2022),TV-MA,384 min,"Horror, Mystery",5.199999809265137,391
"Oh, Ramona!",(2019),,109 min,"Comedy, Romance",4.800000190734863,"9,010"
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,(2021– ),TV-14,24 min,"Animation, Action, Fantasy",7.400000095367432,"1,955"
The Liberator,(2020– ),TV-MA,,"Animation, Action, Drama",7.599999904632568,"6,233"
The World's Most Amazing Vacation Rentals,(2021– ),TV-PG,,Reality-TV,6.699999809265137,"1,383"
System Crasher,(2019),,125 min,Drama,7.800000190734863,"13,039"
SPF-18,(2017),PG-13,75 min,"Drama, Romance, Sport",3.200000047683716,"5,270"
The Rational Life,(2021– ),,45 min,"Drama, Romance",8.100000381469727,509
Bad Vegan: Fame. Fraud. Fugitives.,(2022),TV-MA,209 min,"Documentary, Crime",5.900000095367432,"6,759"
A Tale Dark & Grimm,(2021– ),TV-Y7,26 min,"Animation, Action, Adventure",7.300000190734863,"1,421"
Sharknado 4: The 4th Awakens,(2016 TV Movie),TV-14,95 min,"Action, Adventure, Comedy",3.799999952316284,"8,319"
Code Lyoko,(2003–2007),TV-Y7,26 min,"Animation, Action, Adventure",7.300000190734863,"5,245"
Contracted,(2013),Not Rated,84 min,"Drama, Horror, Thriller",5.300000190734863,"15,396"
The Empress Ki,(2013–2014),,,"Action, Drama, History",8.399999618530273,"2,791"
Unicorn Store,(2017),TV-PG,92 min,"Comedy, Drama, Fantasy",5.599999904632568,"19,572"
Snowflake Mountain,(2022– ),TV-MA,40 min,Reality-TV,5.400000095367432,"1,364"
Marfa Girl,(2012),Unrated,105 min,Drama,5.199999809265137,"1,695"
Back in Action,,,,"Action, Comedy",,
The Beyond,(2017),TV-14,103 min,"Drama, Sci-Fi",4.900000095367432,"6,387"
XX,(2017),R,80 min,Horror,4.599999904632568,"11,864"
The Prince,(I) (2014),R,93 min,"Action, Thriller",4.599999904632568,"18,577"
Do Do Sol Sol La La Sol,(2020),,60 min,"Comedy, Drama, Music",7.300000190734863,"1,656"
When They Cry,(2006),TV-MA,24 min,"Animation, Drama, Horror",7.900000095367432,"5,731"
Ghost Stories,(2020),TV-MA,144 min,"Horror, Thriller",4.400000095367432,"5,339"
Unstoppable,(2020– ),,43 min,"Comedy, Drama",7.199999809265137,969
Riverdance: The Animated Adventure,(2021),TV-G,90 min,"Animation, Adventure, Comedy",5.5,"1,915"
The Final Girl,(2010),TV-MA,80 min,Drama,3.5,307
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,(2018 TV Special),TV-14,74 min,Comedy,7.099999904632568,"2,741"
Plan A Plan B,(2022),,105 min,"Comedy, Romance",,
Hey Duggee,(2014– ),TV-Y,7 min,"Animation, Comedy, Family",8.899999618530273,"1,141"
V/H/S Viral,(2014),R,81 min,"Horror, Thriller",4.199999809265137,"17,014"
Stalked by My Doctor,(2015 TV Movie),TV-14,88 min,Thriller,5.400000095367432,"1,656"
Fate/stay night [Unlimited Blade Works],(2014–2015),TV-14,24 min,"Animation, Action, Adventure",8.0,"7,896"
1983,(2018),TV-MA,60 min,"Crime, Drama, Thriller",6.699999809265137,"4,208"
Clarence,(2013–2018),TV-PG,23 min,"Animation, Short, Adventure",6.699999809265137,"9,819"
Debt Collectors,(2020),,97 min,"Action, Comedy",5.800000190734863,"4,467"
An Inconvenient Truth,(2006),PG,96 min,"Documentary, News",7.400000095367432,"83,432"
Finding Ola,(2022– ),TV-14,52 min,"Comedy, Drama",7.5,"1,677"
The Defiant Ones,(2017),TV-MA,60 min,"Documentary, Biography, Crime",8.5,"14,696"
The Life Ahead,(2020),PG-13,94 min,Drama,6.800000190734863,"14,298"
Don't Kill Me,(2021),TV-MA,90 min,"Fantasy, Horror, Romance",4.300000190734863,"1,883"
The Perfect Family,(2021),TV-MA,110 min,Comedy,5.300000190734863,"2,256"
Jingle Jangle: A Christmas Journey,(2020),PG,122 min,"Family, Fantasy, Musical",6.400000095367432,"18,518"
Dry Martina,(2018),,95 min,"Comedy, Drama",5.800000190734863,"1,017"
Sentinelle,(2021),TV-MA,80 min,"Action, Crime, Drama",4.699999809265137,"7,926"
DreamWorks Dragons,(2012–2014),TV-Y7,22 min,"Animation, Action, Adventure",7.900000095367432,"11,561"
Scum's Wish,(I) (2017),TV-MA,22 min,"Animation, Drama, Romance",6.800000190734863,"1,943"
Ghost Doctor,(2022– ),,60 min,"Comedy, Fantasy, Romance",7.900000095367432,"1,361"
Joshua,(2007),R,106 min,"Drama, Horror, Thriller",5.800000190734863,"12,896"
Owari no serafu,(2015),TV-14,24 min,"Animation, Action, Adventure",7.5,"5,496"
Down a Dark Hall,(2018),PG-13,96 min,"Drama, Fantasy, Horror",5.0,"14,368"
Lady Driver,(2020),PG,104 min,Sport,5.699999809265137,"1,597"
Memories of a Murderer: The Nilsen Tapes,(2021),TV-MA,84 min,"Documentary, Biography, Crime",6.300000190734863,"3,549"
The Innocents,(2018),TV-MA,60 min,"Drama, Horror, Mystery",6.199999809265137,"5,884"
Roped,(2020),PG,91 min,"Comedy, Drama, Family",5.400000095367432,"1,489"
3Below: Tales of Arcadia,(2018–2019),TV-Y7-FV,24 min,"Animation, Action, Adventure",7.699999809265137,"6,264"
Richie Rich,(2015),TV-G,22 min,Comedy,3.0999999046325684,"1,101"
Nothing to Hide,(2018),TV-MA,90 min,"Comedy, Drama",6.800000190734863,"15,405"
The Deliverance,,,,"Horror, Thriller",,
Your Place or Mine,(2022),,,"Comedy, Romance",,
Pretend It's a City,(2021),TV-14,203 min,"Documentary, Biography, Comedy",8.100000381469727,"7,460"
Special Forces,(2011),R,109 min,"Action, Drama, War",6.300000190734863,"18,878"
Tell Me Who I Am,(2019),TV-MA,86 min,"Documentary, Drama, Mystery",7.599999904632568,"14,794"
Next Gen,(I) (2018),TV-PG,106 min,"Animation, Action, Adventure",6.599999904632568,"17,664"
The Angel,(2018),TV-MA,114 min,"Action, Biography, Drama",6.599999904632568,"14,291"
From the Dark,(2014),Unrated,90 min,"Horror, Thriller",4.900000095367432,"3,328"
Return to Space,(2022),TV-MA,128 min,Documentary,7.300000190734863,"4,527"
The Stranger,(1946),Passed,95 min,"Crime, Drama, Film-Noir",7.300000190734863,"26,705"
Frequency,(2016–2017),TV-MA,42 min,"Drama, Fantasy, Mystery",7.400000095367432,"13,862"
The Hunting,(2019),,,Drama,7.199999809265137,800
The Bletchley Circle: San Francisco,(2018),TV-14,45 min,"Crime, Drama, History",6.800000190734863,"2,583"
Happy as Lazzaro,(2018),PG-13,128 min,"Drama, Fantasy, Mystery",7.5,"18,327"
Baby Fever,(2022– ),TV-MA,30 min,"Comedy, Drama, Romance",6.5,712
Blown Away,(2019– ),TV-PG,23 min,Reality-TV,7.099999904632568,"3,350"
American Factory,(2019),TV-14,110 min,Documentary,7.400000095367432,"21,972"
Your Name Engraved Herein,(2020),Not Rated,118 min,"Drama, Romance",7.199999809265137,"6,194"
A Babysitter's Guide to Monster Hunting,(2020),TV-PG,98 min,"Comedy, Family, Fantasy",5.400000095367432,"4,238"
The Bling Ring,(2022),TV-MA,65 min,"Documentary, Crime, History",5.599999904632568,226
"Web of Make Believe: Death, Lies and the Internet",(2022– ),TV-MA,60 min,"Documentary, Crime",6.400000095367432,"1,705"
Yeh Meri Family,(2018),TV-14,30 min,"Comedy, Drama, Family",9.100000381469727,"23,865"
Assassin's Creed,,TV-14,,"Action, Adventure, Drama",,
Untitled Netflix Romcom,,,,"Comedy, Romance",,
Blue Jay,(I) (2016),Unrated,80 min,"Drama, Romance",7.199999809265137,"17,735"
Meltdown: Three Mile Island,(2022),TV-14,172 min,"Documentary, History",6.800000190734863,"3,836"
Acts of Violence,(2018),R,86 min,"Action, Crime, Thriller",5.300000190734863,"12,447"
A Suitable Boy,(2020),TV-14,60 min,"Drama, Romance",6.0,"5,327"
Mongol: The Rise of Genghis Khan,(2007),R,126 min,"Action, Biography, Drama",7.199999809265137,"46,974"
A 2nd Chance,(2011),PG,90 min,"Adventure, Drama, Family",4.699999809265137,"1,051"
The Out-Laws,(2022),,,"Action, Comedy, Crime",,
Mirai,(2018),PG,98 min,"Animation, Adventure, Drama",7.0,"15,916"
The Ruthless,(2019),TV-MA,111 min,"Crime, Drama",6.199999809265137,"6,331"
Two Is a Family,(2016),,118 min,"Comedy, Drama",7.300000190734863,"26,694"
ARQ,(2016),TV-MA,88 min,"Action, Sci-Fi, Thriller",6.300000190734863,"39,434"
My First First Love,(2019),,50 min,Drama,7.5,"2,333"
Tune in for Love,(2019),,122 min,"Drama, Romance",7.099999904632568,"4,315"
Raat Akeli Hai,(2020),TV-MA,149 min,"Crime, Drama, Mystery",7.199999809265137,"18,239"
Vampires vs. the Bronx,(2020),PG-13,85 min,"Comedy, Horror",5.699999809265137,"10,046"
Sonic X,(2003–2006),TV-Y7,30 min,"Animation, Action, Adventure",6.199999809265137,"4,772"
Jimmy Savile: A British Horror Story,(2022),TV-MA,170 min,"Documentary, Biography, Crime",6.699999809265137,"7,292"
A United Kingdom,(2016),PG-13,111 min,"Biography, Drama, History",6.900000095367432,"16,239"
I.T.,(2016),Not Rated,95 min,"Crime, Drama, Mystery",5.5,"16,145"
The Duchess,(2020),TV-MA,30 min,"Comedy, Drama",6.699999809265137,"5,473"
A California Christmas,(2020),PG-13,106 min,"Comedy, Drama, Romance",5.800000190734863,"9,930"
Jarhead 2: Field of Fire,(2014 Video),R,103 min,"Action, Drama, War",5.400000095367432,"6,110"
Signs,(2018– ),TV-MA,,"Crime, Thriller",6.400000095367432,"1,752"
Dolly Parton's Heartstrings,(2019),TV-14,62 min,"Comedy, Drama, Music",7.5,"2,213"
The Warrior's Way,(2010),R,100 min,"Action, Fantasy, Western",6.199999809265137,"26,488"
Wonder Park,(2019),PG,85 min,"Animation, Adventure, Comedy",5.800000190734863,"12,001"
Video Game High School,(2012–2014),TV-14,42 min,"Action, Romance, Sci-Fi",7.599999904632568,"13,375"
Ghost in the Shell SAC_2045,(2020– ),TV-MA,25 min,"Animation, Action, Crime",6.300000190734863,"2,503"
The Girl from Oslo,(2021– ),,35 min,"Drama, Thriller",6.300000190734863,"3,250"
Mascots,(2016),TV-MA,89 min,Comedy,5.800000190734863,"7,499"
Lady of Steel,(2014–2019),TV-14,,"Crime, Drama, Romance",6.900000095367432,394
Quien a hierro mata,(2019),TV-MA,107 min,"Drama, Thriller",6.599999904632568,"7,759"
Gantz,(2004),TV-MA,22 min,"Animation, Action, Drama",7.199999809265137,"7,933"
Eulachacha Waikiki,(2018–2019),,65 min,"Comedy, Drama",8.199999809265137,"2,323"
