show_title,rating,votes,total_hours,total_views,weeks_in_top10,average_weekly_views_12m,average_weekly_views_4w,momentum_ratio,proven_demand_score,reliable_demand,demand_pattern,metadata_match_note,original_uk_audience,google_trends_average_12m,google_trends_average_4w,rights_status,current_platform,production_status,confirmed_release_date,estimated_viewers_low,estimated_viewers_base,estimated_viewers_high,projected_value_base_gbp,licence_cost_gbp,benefit_cost_ratio,projected_roi,break_even_viewers,recommendation
Hometown Cha-Cha-Cha,8.399999618530273,12059,300580000,,16,0.0,0.0,,82.92458565321859,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3856311.292162005,5932786.603326161,8305901.244656625,14831966.508315403,,,,,Shortlist for rights and cost research
Suits,8.5,405863,94900000,10400000.0,4,0.0,0.0,,82.54526199399761,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3840901.2685061535,5909078.874624851,8272710.424474791,14772697.186562128,,,,,Shortlist for rights and cost research
The Chestnut Man,7.699999809265137,44386,166810000,12300000.0,9,236538.46153846153,0.0,0.0,82.1412335064008,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3824487.611197532,5883827.09415005,8237357.931810069,14709567.735375125,,,,,Shortlist for rights and cost research
Narcos: Mexico,8.399999618530273,83199,138980000,,4,0.0,0.0,,82.07445138937219,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3821774.587693245,5879653.211835762,8231514.496570066,14699133.029589403,,,,,Shortlist for rights and cost research
Clickbait,7.199999809265137,52589,252620000,,6,0.0,0.0,,81.99815994130077,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3818675.2476153444,5874884.996331299,8224838.9948638175,14687212.490828246,,,,,Shortlist for rights and cost research
Firefly Lane,7.400000095367432,21296,361760000,,11,0.0,0.0,,81.77785895724921,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3809725.5201382493,5861116.184828076,8205562.658759305,14652790.46207019,,,,,Shortlist for rights and cost research
Sweet Magnolias,7.300000190734863,18682,446140000,31500000.0,14,159615.38461538462,0.0,0.0,81.64644293926902,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3804386.744407804,5852902.683704314,8194063.757186038,14632256.709260784,,,,,Shortlist for rights and cost research
Good Girls,7.699999809265137,51835,153140000,,6,0.0,0.0,,81.23814759189885,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3787799.7459208914,5827384.224493679,8158337.91429115,14568460.561234197,,,,,Shortlist for rights and cost research
Lost in Space,7.300000190734863,99084,185180000,,4,0.0,0.0,,80.95598931414516,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3776337.0658871466,5809749.332134072,8133649.0649876995,14524373.33033518,,,,,Shortlist for rights and cost research
Midnight Mass,7.699999809265137,110997,142280000,,4,0.0,0.0,,80.8908206630228,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3773689.5894353013,5805676.291438925,8127946.808014494,14514190.728597313,,,,,Shortlist for rights and cost research
Better Call Saul,8.899999618530273,501384,56350000,,4,0.0,0.0,,80.4955013757304,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3757629.743389047,5780968.83598315,8093356.370376409,14452422.089957874,,,,,Shortlist for rights and cost research
Dynasty,7.199999809265137,22045,262590000,,11,0.0,0.0,,80.48823016057445,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3757334.350273337,5780514.385035903,8092720.139050264,14451285.962589758,,,,,Shortlist for rights and cost research
Top Boy,8.399999618530273,25235,148630000,9300000.0,5,0.0,0.0,,79.94482574856745,True,More sustained evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,3735258.5460355533,5746551.609285466,8045172.252999652,14366379.023213666,,,,,Shortlist for rights and cost research
